Rule,Title,Text,Congress,Link
,Content of reports,"Except as provided in subparagraph (2), the report of a committee on a measure or matter shall be printed in a single volume that— A) shall include all supplemental, minority, additional, or dissenting views that have been submitted by the time of the filing of the report; and (B) shall bear on its cover a recital that any such supplemental, minority, additional, or dissenting views (and any material submitted under paragraph (c)(3)) are included as part of the report. (2) A committee may file a supplemental report for the correction of a technical error in its previous report on a measure or matter. A supplemental report only correcting errors in the depiction of record votes under paragraph (b) may be filed under this subparagraph and shall not be subject to the requirement in clause 4 or clause 6 concerning the availability of reports. (b) With respect to each record vote on a motion to report a measure or matter of a public nature, and on any amendment offered to the measure or matter, the total number of votes cast for and against, and the names of members voting for and against, shall be included in the committee report. The preceding sentence does not apply to votes taken in executive session by the Committee on Ethics, and applies only to the maximum extent practicable to a report by the Committee on Rules on a rule, joint rule, or the order of business. (c) The report of a committee on a measure that has been approved by the committee shall include, separately set out and clearly identified, the following: (1) Oversight findings and recommendations under clause 2(b)(1) of rule X. (2) The statement required by section 308(a) of the Congressional Bud get Act of 1974, except that an estimate of new budget authority shall include, when practicable, a comparison of the total estimated funding level for the relevant programs to the appropriate levels under current law. (3) An estimate and comparison prepared by the Director of the Congressional Budget Office under section 402 of the Congressional Budget Act of 1974 if timely submitted to the committee before the filing of the report. (4) A statement of general performance goals and objectives, including outcome-related goals and objectives, for which the measure authorizes funding. (5) On a bill or joint resolution that establishes or reauthorizes a Federal program, a statement indicating whether any such program is known to be duplicative of another such program, including at a minimum an explanation of whether any such program was included in a report to Congress pursuant to section 21 of Public Law 111-139 or whether the most recent Catalog of Federal Domestic Assistance (published pursuant to section 6104 of title 31, United States Code) identified other programs related to the program established or reauthorized by the measure. (6)(A) On a bill or joint resolution to be considered pursuant to a special order of business reported by the Committee on Rules— (i) a list of related committee and subcommittee hearings; and (ii) a designation of at least one committee or subcommittee hearing that was used to develop or consider such bill or joint resolution. (B) Subdivision (A) shall not apply to a bill or joint resolution— (i) continuing appropriations for a fiscal year; or (ii) containing an emergency designation under section 251(b)(2) or section 252(e) of the Balanced Budget and Emergency Deficit Control Act of 1985. (d) Each report of a committee on a public bill or public joint resolution shall contain the following: (1)(A) An estimate by the committee of the costs that would be incurred in carrying out the bill or joint resolution in the fiscal year in which it is reported and in each of the five fiscal years following that fiscal year (or for the authorized duration of any program authorized by the bill or joint resolution if less than five years); (B) a comparison of the estimate of costs described in subdivision (A) made by the committee with any estimate of such costs made by a Government agency and submitted to such committee; and (C) when practicable, a comparison of the total estimated funding level for the relevant programs with the appropriate levels under current law. (2)(A) In subparagraph (1) the term ‘‘Government agency’’ includes any department, agency, establishment, wholly owned Government corporation, or instrumentality of the Federal Government or the government of the District of Columbia. (B) Subparagraph (1) does not apply to the Committee on Appropriations, the Committee on House Administration, the Committee on Rules, or the Committee on Ethics, and does not apply when a cost estimate and comparison prepared by the Director of the Congressional Budget Office under section 402 of the Congressional Budget Act of 1974 has been included in the report under paragraph (c)(3). (e)(1) Whenever a committee reports a bill or joint resolution proposing to repeal or amend a statute or part thereof, it shall include in its report or in an accompanying document (showing by appropriate typographical devices the omissions and insertions proposed)— (A) the entire text of each section of a statute that is proposed to be repealed; and (B) a comparative print of each amendment to the entire text of a section of a statute that the bill or joint resolution proposes to make. (2) If a committee reports a bill or joint resolution proposing to repeal or amend a statute or part thereof with a recommendation that the bill or joint resolution be amended, the comparative print required by subparagraph (1) shall reflect the changes in existing law proposed to be made by the bill or joint resolution as proposed to be amended. (f)(1) A report of the Committee on Appropriations on a general appropriation bill shall include— (A) a concise statement describing the effect of any provision of the accompanying bill that directly or indirectly changes the application of existing law; and (B) a list of all appropriations contained in the bill for expenditures not currently authorized by law for the period concerned (excepting classified intelligence or national security programs, projects, or activities), along with a statement of the last year for which such expenditures were authorized, the level of expenditures authorized for that year, the actual level of expenditures for that year, and the level of appropriations in the bill for such expenditures. (2) Whenever the Committee on Appropriations reports a bill or joint resolution including matter specified in clause 1(b)(2) or (3) of rule X, it shall include— (A) in the bill or joint resolution, separate headings for ‘‘Rescissions’’ and ‘‘Transfers of Unexpended Balances’’; and (B) in the report of the committee, a separate section listing such rescissions and transfers. (g) Whenever the Committee on Rules reports a resolution proposing to repeal or amend a standing rule of the House, it shall include in its report or in an accompanying document— (1) the text of any rule or part thereof that is proposed to be repealed; and (2) a comparative print of any part of the resolution proposing to amend the rule and of the rule or part thereof proposed to be amended, showing by appropriate typographical devices the omissions and insertions proposed. (h) It shall not be in order to consider a bill or joint resolution reported by the Committee on Ways and Means that proposes to amend the Internal Revenue Code of 1986 unless— (1) the report includes a tax complexity analysis prepared by the Joint Committee on Taxation in accordance with section 4022(b) of the Internal Revenue Service Restructuring and Reform Act of 1998; or (2) the chair of the Committee on Ways and Means causes such a tax complexity analysis to be printed in the Congressional Record before consideration of the bill or joint resolution.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Availability of reports,"Except as specified in subparagraph (2), it shall not be in order to consider in the House a measure or matter reported by a committee until the proposed text of each report (except views referred to in clause 2(l) of rule XI) of a committee on that measure or matter has been available to Members, Delegates, and the Resident Commissioner for 72 hours. (2) Subparagraph (1) does not apply to— (A) a resolution providing a rule, joint rule, or order of business reported by the Committee on Rules considered under clause 6; (B) a resolution providing amounts from the applicable accounts described in clause 1(k)(1) of rule X reported by the Committee on House Administration considered under clause 6 of rule X; (C) a resolution presenting a question of the privileges of the House reported by any committee; (D) a measure for the declaration of war, or the declaration of a national emergency, by Congress; and (E) a measure providing for the disapproval of a decision, determination, or action by a Government agency that would become, or continue to be, effective unless disapproved or otherwise invalidated by one or both Houses of Congress. In this subdivision the term ‘‘Government agency’’ includes any department, agency, establishment, wholly owned Government corporation, or instrumentality of the Federal Government or of the government of the District of Columbia. (b) A committee that reports a measure or matter shall make every reasonable effort to have its hearings thereon (if any) printed and available for distribution to Members, Delegates, and the Resident Commissioner before the consideration of the measure or matter in the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,"Privileged reports, generally","The following committees shall have leave to report at any time on the following matters, respectively: (1) The Committee on Appropriations, on general appropriation bills and on joint resolutions continuing appropriations for a fiscal year after September 15 in the preceding fiscal year. (2) The Committee on the Budget, on the matters required to be reported by such committee under titles III and IV of the Congressional Budget Act of 1974. (3) The Committee on House Administration, on enrolled bills, on contested elections, on matters referred to it concerning printing for the use of the House or the two Houses, on expenditure of the applicable accounts of the House described in clause 1(k)(1) of rule X, and on matters relating to preservation and availability of noncurrent records of the House under rule VII. (4) The Committee on Rules, on rules, joint rules, and the order of business. (5) The Committee on Ethics, on resolutions recommending action by the House with respect to a Member, Delegate, Resident Commissioner, officer, or employee of the House as a result of an investigation by the committee relating to the official conduct of such Member, Delegate, Resident Commissioner, officer, or employee. (b) A report filed from the floor, pursuant to clause 2(a)(3), or pursuant to clause 2(c), as privileged under paragraph (a) may be called up as a privileged question by direction of the reporting committee, subject to any requirement concerning its availability to Members, Delegates, and the Resident Commissioner under clause 4 or concerning the timing of its consideration under clause 6.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Privileged reports by the Committee on Rules,"A report by the Committee on Rules on a rule, joint rule, or the order of business may not be called up for consideration on the same day it is presented to the House except— (1) when so determined by a vote of two-thirds of the Members voting, a quorum being present; (2) in the case of a resolution proposing only to waive a requirement of clause 4 or of clause 8 of rule XXII concerning the availability of reports; (3) when the proposed text of such a report has been made available to Members, Delegates, and the Resident Commissioner prior to the convening of that legislative day; or (4) during the last three days of a session of Congress. (b) Pending the consideration of a report by the Committee on Rules on a rule, joint rule, or the order of business, the Speaker may entertain one motion that the House adjourn but may not entertain any other dilatory motion until the report shall have been disposed of. (c) The Committee on Rules may not report a rule or order that would prevent the motion to recommit a bill or joint resolution from being made as provided in clause 2(b) of rule XIX, if offered by the Minority Leader or a designee, except with respect to a Senate bill or joint resolution for which the text of a House-passed measure has been substituted. (d) The Committee on Rules shall present to the House reports concerning rules, joint rules, and the order of business, within three legislative days of the time when they are ordered. If such a report is not considered immediately, it shall be referred to the calendar. If such a report on the calendar is not called up by the member of the committee who filed the report within seven legislative days, any member of the committee may call it up as a privileged question on the day after the calendar day on which the member announces to the House intention to do so. The Speaker shall recognize a member of the committee who seeks recognition for that purpose. (e) An adverse report by the Committee on Rules on a resolution proposing a special order of business for the consideration of a public bill or public joint resolution may be called up as a privileged question by a Member, Delegate, or Resident Commissioner on the second and fourth Mondays of a month. (f) If the House has adopted a resolution making in order a motion to consider a bill or resolution, and such a motion has not been offered within seven calendar days thereafter, such a motion shall be privileged if offered by direction of all reporting committees having initial jurisdiction of the bill or resolution. (g) Whenever the Committee on Rules reports a resolution providing for the consideration of a measure, it shall to the maximum extent possible specify in the accompanying report any waiver of a point of order against the measure or against its consideration.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Resolutions of inquiry,"A report on a resolution of inquiry addressed to the head of an executive department may be filed from the floor as privileged. If such a resolution is not reported to the House within 14 legislative days after its introduction, a motion to discharge a committee from its consideration shall be privileged.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
ORDER AND PRIORITY OF BUSINESS,,"The daily order of business (unlessvaried by the application of other rulesand except for the disposition of matters of higher precedence) shall be asfollows:First. Prayer by the Chaplain.Second. Reading and approval ofthe Journal, unless postponed underclause 8 of rule XX.Third. The Pledge of Allegiance tothe Flag.Fourth. Correction of reference ofpublic bills.Fifth. Disposal of business on theSpeaker’s table as provided in clause2.Sixth. Unfinished business as provided in clause 3.Seventh. The morning hour for theconsideration of bills called up bycommittees as provided in clause 4.Eighth. Motions that the House resolve into the Committee of theWhole House on the state of theUnion subject to clause 5.Ninth. Orders of the day.2. Business on the Speaker’s tableshall be disposed of as follows:(a) Messages from the Presidentshall be referred to the appropriatecommittees without debate.(b) Communications addressed tothe House, including reports andcommunications from heads of departments and bills, resolutions, and messages from the Senate, may be referred to the appropriate committeesin the same manner and with thesame right of correction as publicbills and public resolutions presentedby Members, Delegates, or the Resident Commissioner.(c) Motions to dispose of Senateamendments on the Speaker’s tablemay be entertained as provided inclauses 1, 2, and 4 of rule XXII.(d) Senate bills and resolutions substantially the same as House measures already favorably reported andnot required to be considered in theCommittee of the Whole House onthe state of the Union may be disposed of by motion. Such a motionshall be privileged if offered by direction of all reporting committees having initial jurisdiction of the Housemeasure.3. Consideration of unfinished business in which the House may have beenengaged at an adjournment, exceptbusiness in the morning hour and proceedings postponed under clause 8 ofrule XX, shall be resumed as soon asthe business on the Speaker’s table isfinished, and at the same time eachday thereafter until disposed of. Theconsideration of all other unfinishedbusiness shall be resumed whenever theclass of business to which it belongsshall be in order under the rules.4. After the unfinished business hasbeen disposed of, the Speaker shall calleach standing committee in regularorder and then select committees. Eachcommittee when named may call up forconsideration a bill or resolution reported by it on a previous day and onthe House Calendar. If the Speakerdoes not complete the call of the committees before the House passes toother business, the next call shall resume at the point it left off, givingpreference to the last bill or resolutionunder consideration. A committee thathas occupied the call for two days maynot call up another bill or resolutionuntil the other committees have beencalled in their turn.5. After consideration of bills or resolutions under clause 4 for one hour, itshall be in order, pending considerationthereof, to entertain a motion that theHouse resolve into the Committee ofthe Whole House on the state of theUnion or, when authorized by a committee, that the House resolve into theCommittee of the Whole House on thestate of the Union to consider a particular bill. Such a motion shall besubject to only one amendment designating another bill. If such a motion isdecided in the negative, another suchmotion may not be considered until thematter that was pending when suchmotion was offered is disposed of.6. All questions relating to the priority of business shall be decided by amajority without debate.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
BUSINESS IN ORDER ON SPECIAL DAYS,Suspensions,"A rule may not be suspended except by a vote of two-thirds of the Members voting, a quorum being present. (b) Pending a motion that the House suspend the rules, the Speaker may entertain one motion that the House adjourn but may not entertain any other motion until the vote is taken on the suspension. (c) A motion that the House suspend the rules is debatable for 40 minutes, one-half in favor of the motion and one-half in opposition thereto.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Discharge motions,"A Member may present to the Clerk a motion in writing to discharge— (A) a committee from consideration of a public bill or public resolution that has been referred to it for 30 legislative days; or (B) the Committee on Rules from consideration of a resolution that has been referred to it for seven legislative days and that proposes a special order of business for the consideration of a public bill or public resolution that has been reported by a committee or has been referred to a committee for 30 legislative days. (2) Only one motion may be presented for a bill or resolution. A Member may not file a motion to discharge the Committee on Rules from consideration of a resolution providing for the consideration of more than one public bill or public resolution or admitting or effecting a nongermane amendment to a public bill or public resolution. (b) A motion presented under paragraph (a) shall be placed in the custody of the Clerk, who shall arrange a convenient place for the signatures of Members. A signature may be withdrawn by a Member in writing at any time before a motion is entered on the Journal. The Clerk shall make the signatories a matter of public record, causing the names of the Members who have signed a discharge motion during a week to be published in a portion of the Congressional Record designated for that purpose on the last legislative day of the week and making cumulative lists of such names available each day for public inspection in an appropriate office of the House. The Clerk shall devise a means for making such lists available to offices of the House and to the public in electronic form. When a majority of the total membership of the House shall have signed the motion, it shall be entered on the Journal, published with the signatories thereto in the Record, and referred to the Calendar of Motions to Discharge Committees. (c)(1) A motion to discharge that has been on the calendar for at least seven legislative days (except during the last six days of a session of Congress) shall be privileged only at a time or place, designated by the Speaker, in the legislative schedule within two legislative days after the day on which a Member whose signature appears thereon announces to the House an intention to offer the motion. When such a motion is called up, the House shall proceed to its consideration under this paragraph without intervening motion except one motion to adjourn. Privileged motions to discharge shall have precedence in the order of their entry on the Journal. (2) When a motion to discharge is called up, the bill or resolution to which it relates shall be read by title only. The motion is debatable for 20 minutes, one-half in favor of the motion and one-half in opposition thereto. (d)(1) If a motion prevails to discharge the Committee on Rules from consideration of a resolution, the House shall immediately consider the resolution, pending which the Speaker may entertain one motion that the House adjourn but may not entertain any other dilatory motion until the resolution has been disposed of. If the resolution is adopted, the House shall immediately proceed to its execution. (2) If a motion prevails to discharge a committee from consideration of a public bill or public resolution, a motion that the House proceed to the immediate consideration of such bill or resolution shall be privileged if offered by a Member whose signature appeared on the motion to discharge. The motion to proceed is not debatable. If the motion to proceed is adopted, the bill or resolution shall be considered immediately under the general rules of the House. If unfinished before adjournment of the day on which it is called up, the bill or resolution shall remain the unfinished business until it is disposed of. If the motion to proceed is rejected, the bill or resolution shall be referred to the appropriate calendar, where it shall have the same status as if the committee from which it was discharged had duly reported it to the House. (e)(1) When a motion to discharge originated under this clause has once been acted on by the House, it shall not be in order to entertain during the same session of Congress— (A) a motion to discharge a committee from consideration of that bill or resolution or of any other bill or resolution that, by relating in substance to or dealing with the same subject matter, is substantially the same; or (B) a motion to discharge the Committee on Rules from consideration of a resolution providing a special order of business for the consideration of that bill or resolution or of any other bill or resolution that, by relating in substance to or dealing with the same subject matter, is substantially the same. (2) A motion to discharge on the Calendar of Motions to Discharge Committees that is rendered out of order under subparagraph (1) shall be stricken from that calendar.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,"Adverse report by the Committee on Rules, second and fourth Mondays",,117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Private Calendar,"On the first Tuesday of a month, the Speaker shall direct the Clerk to call the bills and resolutions on the Private Calendar after disposal of such business on the Speaker’s table as requires reference only. If two or more Members, Delegates, or the Resident Commissioner object to the consideration of a bill or resolution so called, it shall be recommitted to the committee that reported it. No other business shall be in order before completion of the call of the Private Calendar on this day unless two-thirds of the Members voting, a quorum being present, agree to a motion that the House dispense with the call. (b)(1) On any day, after the disposal of such business on the Speaker’s table as requires reference only, the Speaker may direct the Clerk to call any bill or resolution that has been on the Private Calendar for at least seven days, but only on the second legislative day after the legislative day on which the Speaker or a designee announces to the House an intention to do so. Preference shall be given to omnibus bills containing the texts of bills or resolutions that have previously been objected to on a call of the Private Calendar. If two or more Members, Delegates, or the Resident Commissioner object to the consideration of a bill or resolution so called (other than an omnibus bill), it shall be recommitted to the committee that reported it. Two-thirds of the Members voting, a quorum being present, may adopt a motion that the House dispense with the call on this day. (2) Omnibus bills shall be read for amendment by paragraph. No amendment shall be in order except to strike or to reduce amounts of money or to provide limitations. An item or matter stricken from an omnibus bill may not thereafter during the same session of Congress be included in an omnibus bill. Upon passage such an omnibus bill shall be resolved into the several bills and resolutions of which it is composed. The several bills and resolutions, with any amendments adopted by the House, shall be engrossed, when necessary, and otherwise considered as passed severally by the House as distinct bills and resolutions. (c) The Speaker may not entertain a reservation of the right to object to the consideration of a bill or resolution under this clause. A bill or resolution considered under this clause shall be considered in the House as in the Committee of the Whole. A motion to dispense with the call of the Private Calendar under this clause shall be privileged. Debate on such a motion shall be limited to five minutes in support and five minutes in opposition.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,"Calendar Call of Committees, Wednesdays","On Wednesday of each week, business shall not be in order before completion of the call of those committees (except as provided by clause 4 of rule XIV) whose chair, or other member authorized by the committee, has announced to the House a request for such call on the preceding legislative day. (b) A bill or resolution on either the House or the Union Calendar, except bills or resolutions that are privileged under the Rules of the House, may be called under this clause. A bill or resolution called up from the Union Calendar shall be considered in the Committee of the Whole House on the state of the Union without motion, subject to clause 3 of rule XVI. General debate on a measure considered under this clause shall be confined to the measure and may not exceed two hours equally divided between a proponent and an opponent. (c) This clause does not apply during the last two weeks of a session of Congress. (d) Precedents, rulings, or procedures in effect before the One Hundred Eleventh Congress regarding the priority of business and the availability of other business on Wednesday shall be applied only to the extent consistent with this clause.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Consensus Calendar,"At least once during any week in which the House convenes, the House shall consider a measure on the Consensus Calendar as designated by the Speaker. (2) This paragraph does not apply before March 1 of an odd-numbered year or after September 30 of an even-numbered year. (b)(1) The sponsor of a measure that has accumulated 290 cosponsors and has not been reported by the committee of primary jurisdiction may present to the Clerk a motion in writing to place that measure on the Consensus Calendar. (2) A proper motion presented under subparagraph (1) shall be placed in the custody of the Clerk, and shall appear in a portion of the Congressional Record designated for that purpose. The Clerk shall maintain a cumulative list of such motions, and shall make such list publicly available in electronic form. (3) A motion presented under subparagraph (1) shall be considered as withdrawn if the measure is reported by the committee of primary jurisdiction prior to its placement on the Consensus Calendar. (c) After a measure has maintained at least 290 cosponsors for a cumulative period of 25 legislative days after the presentation of a motion under paragraph (b)(1), the measure shall be placed on the Consensus Calendar. Such measure shall remain on the Consensus Calendar until it is— (1) considered in the House; or (2) reported by the committee of primary jurisdiction.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
MOTIONS AND AMENDMENTS,Motions,"Every motion entertained by the Speaker shall be reduced to writing on the demand of a Member, Delegate, or Resident Commissioner and, unless it is withdrawn the same day, shall be entered on the Journal with the name of the Member, Delegate, or Resident Commissioner offering it. A dilatory motion may not be entertained by the Speaker.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Withdrawal,"When a motion is entertained, the Speaker shall state it or cause it to be read aloud by the Clerk before it is debated. The motion then shall be in the possession of the House but may be withdrawn at any time before a decision or amendment thereon.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Question of consideration,"When a motion or proposition is entertained, the question, ‘‘Will the House now consider it?’’ may not be put unless demanded by a Member, Delegate, or Resident Commissioner.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Precedence of motions,"When a question is under debate, only the following motions may be entertained (which shall have precedence in the following order): (1) To adjourn. (2) To lay on the table. (3) For the previous question. (4) To postpone to a day certain. (5) To refer. (6) To amend. (7) To postpone indefinitely. (b) A motion to adjourn, to lay on the table, or for the previous question shall be decided without debate. A motion to postpone to a day certain, to refer, or to postpone indefinitely, being decided, may not be allowed again on the same day at the same stage of the question. (c)(1) It shall be in order at any time for the Speaker, in the discretion of the Speaker, to entertain a motion— (A) that the Speaker be authorized to declare a recess; or (B) that when the House adjourns it stand adjourned to a day and time certain. (2) Either motion shall be of equal privilege with the motion to adjourn and shall be decided without debate.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Divisibility,"Except as provided in paragraph (b), a question shall be divided on the demand of a Member, Delegate, or Resident Commissioner before the question is put if it includes propositions so distinct in substance that, one being taken away, a substantive proposition remains. (b)(1) A motion or resolution to elect members to a standing committee of the House, or to a joint standing committee, is not divisible. (2) A resolution or order reported by the Committee on Rules providing a special order of business is not divisible. (c) A motion to strike and insert is not divisible, but rejection of a motion to strike does not preclude another motion to amend.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Amendments,"When an amendable proposition is under consideration, a motion to amend and a motion to amend that amendment shall be in order, and it also shall be in order to offer a further amendment by way of substitute for the original motion to amend, to which one amendment may be offered but which may not be voted on until the original amendment is perfected. An amendment may be withdrawn in the House at any time before a decision or amendment thereon. An amendment to the title of a bill or resolution shall not be in order until after its passage or adoption, shall be in order only if offered by the Majority Leader or a designee, and shall be decided without debate.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Germaneness,No motion or proposition on a subject different from that under consideration shall be admitted under color of amendment.,117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Readings,"Bills and joint resolutions are subject to readings as follows: (a) A first reading is in full when the bill or joint resolution is first considered. (b) A second reading occurs only when the bill or joint resolution is read for amendment in a Committee of the Whole House on the state of the Union under clause 5 of rule XVIII. (c) A third reading precedes passage when the Speaker states the question: ‘‘Shall the bill [or joint resolution] be engrossed [when applicable] and read a third time?’’ If that question is decided in the affirmative, then the bill or joint resolution shall be read the final time by title and then the question shall be put on its passage.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
DECORUM AND DEBATE,Decorum,"A Member, Delegate, or Resident Commissioner who desires to speak or deliver a matter to the House shall respectfully address the Speaker and, on being recognized, may address the House from any place on the floor. When invited by the Chair, a Member, Delegate, or Resident Commissioner may speak from the Clerk’s desk. (b) Remarks in debate (which may include references to the Senate or its Members) shall be confined to the question under debate, avoiding personality.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Recognition,"When two or more Members, Delegates, or the Resident Commissioner seek recognition, the Speaker shall name the Member, Delegate, or Resident Commissioner who is first to speak. A Member, Delegate, or Resident Commissioner may not occupy more than one hour in debate on a question in the House or in the Committee of the Whole House on the state of the Union except as otherwise provided in this rule.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Managing debate,"The Member, Delegate, or Resident Commissioner who calls up a measure may open and close debate thereon. When general debate extends beyond one day, that Member, Delegate, or Resident Commissioner shall be entitled to one hour to close without regard to the time used in opening. (b) Except as provided in paragraph (a), a Member, Delegate, or Resident Commissioner may not speak more than once to the same question without leave of the House. (c) A manager of a measure who opposes an amendment thereto is entitled to close controlled debate thereon.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Call to order,"If a Member, Delegate, or Resident Commissioner, in speaking or otherwise, transgresses the Rules of the House, the Speaker shall, or a Member, Delegate, or Resident Commissioner may, call to order the offending Member, Delegate, or Resident Commissioner, who shall immediately sit down unless permitted on motion of another Member, Delegate, or the Resident Commissioner to explain. If a Member, Delegate, or Resident Commissioner is called to order, the Member, Delegate, or Resident Commissioner making the call to order shall indicate the words excepted to, which shall be taken down in writing at the Clerk’s desk and read aloud to the House. (b) The Speaker shall decide the validity of a call to order. The House, if appealed to, shall decide the question without debate. If the decision is in favor of the Member, Delegate, or Resident Commissioner called to order, the Member, Delegate, or Resident Commissioner shall be at liberty to proceed, but not otherwise. If the case requires it, an offending Member, Delegate, or Resident Commissioner shall be liable to censure or such other punishment as the House may consider proper. A Member, Delegate, or Resident Commissioner may not be held to answer a call to order, and may not be subject to the censure of the House therefor, if further debate or other business has intervened.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Comportment,"When the Speaker is putting a question or addressing the House, a Member, Delegate, or Resident Commissioner may not exit or cross the Hall. When a Member, Delegate, or Resident Commissioner is speaking, a Member, Delegate, or Resident Commissioner may not pass between the person speaking and the Chair. During the session of the House, a Member, Delegate, or Resident Commissioner may not wear non-religious headdress or a hat or remain by the Clerk’s desk during the call of the roll or the counting of ballots. A person on the floor of the House may not smoke or use a mobile electronic device that impairs decorum. The Sergeant-at-Arms is charged with the strict enforcement of this clause.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Exhibits,"When the use of an exhibit in debate is objected to by a Member, Delegate, or Resident Commissioner, the Chair, in the discretion of the Chair, may submit the question of its use to the House without debate.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Galleries,"During a session of the House, it shall not be in order for a Member, Delegate, or Resident Commissioner to introduce to or to bring to the attention of the House an occupant in the galleries of the House. The Speaker may not entertain a request for the suspension of this rule by unanimous consent or otherwise.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Congressional Record,"The Congressional Record shall be a substantially verbatim account of remarks made during the proceedings of the House, subject only to technical, grammatical, and typographical corrections authorized by the Member, Delegate, or Resident Commissioner making the remarks. (b) Unparliamentary remarks may be deleted only by permission or order of the House. (c) This clause establishes a standard of conduct within the meaning of clause 3(a)(2) of rule XI.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Legislative Proceedings,"A Member, Delegate, the Resident Commissioner, officer, or employee of the House may not engage in disorderly or disruptive conduct in the Chamber, including— (1) intentionally obstructing or impeding the passage of others in the Chamber; (2) the use of an exhibit to impede, disrupt, or disturb the proceedings of the House; and (3) the denial of legislative instruments to others seeking to engage in legislative proceedings. (b) This clause establishes a standard of conduct within the meaning of clause 3(a)(2) of rule XI.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
,Secret sessions,"When confidential communications are received from the President, or when the Speaker or a Member, Delegate, or Resident Commissioner informs the House that such individual has communications that such individual believes ought to be kept secret for the present, the House shall be cleared of all persons except the Members, Delegates, Resident Commissioner, and officers of the House for the reading of such communications, and debates and proceedings thereon, unless otherwise ordered by the House.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
"THE COMMITTEE OF THE WHOLE HOUSE
ON THE STATE OF THE UNION",Resolving into the Committee of the Whole,"Whenever the House resolves into the Committee of the Whole House on the state of the Union, the Speaker shall leave the chair after appointing a Member, Delegate, or the Resident Commissioner as Chair to preside. In case of disturbance or disorderly conduct in the galleries or lobby, the Chair may cause the same to be cleared. 2. (a) Except as provided in paragraph (b) and in clause 6 of rule XV, the House resolves into the Committee of the Whole House on the state of the Union by motion. When such a motion is entertained, the Speaker shall put the question without debate: ‘‘Shall the House resolve itself into the Committee of the Whole House on the state of the Union for consideration of this matter?’’, naming it. (b) After the House has adopted a resolution reported by the Committee on Rules providing a special order of business for the consideration of a measure in the Committee of the Whole House on the state of the Union, the Speaker may at any time, when no question is pending before the House, declare the House resolved into the Committee of the Whole for the consideration of that measure without intervening motion, unless the special order of business provides otherwise.",117th,https://rules.house.gov/sites/democrats.rules.house.gov/files/117-House-Rules-Clerk-U1.pdf
